Project,BHK,Location,total_floors,Carpet Area,Super Area,Price,Price Per Sqft
Namrata Eco Valley,2,Namrata Eco Valley,4,580,754,3000000,3979
Nilesh Samruddhi,1,Nilesh Samruddhi,11,495,584,3000000,5140
Riverdale Residences,3,Riverdale Residences,24,1100,1400,14200000,10143
Sentosa Pride,2,Punawale,15,907,1062,8100000,7627
Gupta Cherry Hills,2,Chinchwad,6,765,1071,6780000,6331
Sigma Blossoms,2,Sigma Blossoms,4,827,930,4280000,4600
Aura County,1,Aura County,10,501,651,4000000,6144
Majestique Signature Towers,3,Majestique Signature Towers,16,1180,1686,19000000,11269
Nyati Estate,3,Nyati Estate,6,1550,1700,12000000,7059
Sahyadri Utsav,2,Sahyadri Utsav,3,750,781,4500000,5762
Nyati Esteban I,3,Kad Nagar,12,1563,2000,14300000,7150
Gandharv Serenity,1,Gandharv Serenity,9,540,640,6000000,9375
Nanded City,2,Nanded City,11,697,900,6609999,7344
Marvel Cascada,2,Marvel Cascada,16,1060,1370,12800000,9343
Riverdale Heights,2,Riverdale Heights,23,732,732,9500000,12978
Kumar Puram,2,Swargate,11,700,1000,16500000,16500
Godrej Forest Grove,2,Mamurdi,8,48,624,6800000,10892
Siddhagiri Apartment,2,Siddhagiri Apartment,17,800,1100,6500000,5909
Panchshil Towers,6,Panchshil Towers,31,7500,7500,91100000,12147
AV Bhat Basant Bahar,4,Model Colony,5,1950,2500,37000000,14800
Aditya Chintamani Residency,3,Aditya Chintamani Residency,11,1050,1295,13000000,10039
Nyati Eternity,2,Nyati Eternity,14,836,1129,6200000,5492
Godrej Boulevard,2,Godrej Boulevard,22,691,1000,7500000,7500
Silicon Bay,2,Silicon Bay,12,908,1260,10800000,8571
Amits Montecito,3,Amits Montecito,15,1610,2200,38000000,17273
Ekta Residency,1,Ekta Residency,6,490,580,3000000,5172
Savali Saffron,1,Savali Saffron,12,560,750,4200000,5600
Prabhat Vandan Apartments,4,Prabhat Vandan Apartments,5,1495,2013,33000000,16395
Arihant Garden,2,Arihant Garden,5,1075,1480,8500000,5743
Urban Gram Pirangut,3,Urban Gram Pirangut,12,931,1037,4970000,4794
Venkatesh Galaxy,1,Venkatesh Galaxy,11,370,497,3579999,7196
Krushnai Impirio,2,Ravet,11,742,941,5830000,6194
ARV Imperia,2,ARV Imperia,14,737,1050,4400000,4190
YashONE,1,YashONE,11,399,525,2630000,5007
YashOne Wakad Central,2,YashOne Wakad Central,22,725,1014,10000000,9862
Panchshil Towers,3,Panchshil Towers,31,2200,2840,27500000,9683
River Residency,1,River Residency,11,576,614,3010000,4900
Little Earth,2,Ravet,12,679,752,7200000,9574
Eiffel City Phase II,2,Eiffel City Phase II,10,582,856,3600000,4206
Shri Laxmi Vrindavan,1,Shri Laxmi Vrindavan,10,500,635,3200000,5039
Mangalya,2,Mangalya,6,700,826,5500000,6659
Magnum Lifestyle,1,Magnum Lifestyle,12,500,695,4000000,5755
GT Royal Palms,4,GT Royal Palms,5,990,1260,6750000,5357
Aayush Park Phase 2,1,Aayush Park Phase 2,13,410,590,2300000,3898
Sampanna Homes,2,Manjri,7,718,949,4370000,4604
Regent Hills,1,Regent Hills,11,570,524,2940000,5614
Hill Shire,2,Hill Shire,12,750,839,5000000,5959
Nakshatra Angan,3,Nakshatra Angan,12,900,1260,7500000,5952
Damodar Vihar,1,Manjri,4,412,485,2940000,6061
Ganesh Residency,2,Dapodi,6,928,1008,10800000,10714
Project Clover Village,2,Project Clover Village,6,1000,1200,14000000,11667
Noble Niwas,4,Noble Niwas,10,1317,1661,21400000,12885
Vihana Mitribute Homes,2,Vihana Mitribute Homes,12,760,980,7500000,7653
Venerable Apartments,1,Venerable Apartments,5,510,632,3600000,5696
